,tweet,sentiment
5614,القرداتي لو كان إخوان والقرد بتاعه مات الجماعة بتجيب له قرد إستبن (من المعصرة عدد اليوم),negative
5615,7 مبدئيا عشان نتفق مافيش أحلى من سمك مصر بشكل عاموالله السمك في نيويورك ولا بريطانيا ولا تركيا ماليه لازمة جنب سمكناعاش سمكنا,positive
5617,الأرسناليين الي يدافعون عن فينقر وصلون لمستوى حومة تسبد ما عمري وصلته، مدرب محترم وكبير وقدير، بس خلاص ياخي كل شي له عمره! #ارحل #فاردز #طس,neutral
5618,#حسن_الخلق يستر كثيراً من السيئات كما أن #سوء_الخلق يغطى كثيراً من الحسنات,neutral
5621,كل اناء ينضح بما فيه، عن حمله #السيسي و #حازم_عبد_العظيم اتحدث,neutral
5624,: بالفيديو ابن مخرج #الفيلم_المسيء للرسول يشهر إسلامه على يد إمام الحرم المكي أوعوا يكون زي خبر أبوه اللي مات محروق 17مرة	OBJ,
5625,3 ماعنديش مانع انا بتكلم عن الفجر في الخصومة,neutral
5627,#كلمة_حلوة *اصرف ما في الجيب يأتيك ما في الغيب * إن للحسنة نورا في الوجه وضياء في القلب وأثرا في الخلق #مما_راق_لي,positive
5628,"#وزير_التموين : توفير كافة السلع بأسعار مخفضة 15% في ""المجمعات الاستهلاكية""	OBJ",
5629,"مع ﺑﺎﻳﺮﻥ ﻣﻴﻮﻧﺦ ﻟﺎﻧﻲ ﺑﻜﺮﻩ ﺗﺸﻴﻠﺴﻲ ﻋﻤﻰ #ﺍﻋﺘﺮﺍﻑ"" علاقة البايرن شنو !؟""#اختاه خليك مع الميك أب	OBJ",
5630,"دعمرو حمزاوي غداً في برنامج"" كلام مصري "" الساعة 8 مساءً على قناة يناقش فكرة الرئيس التوافقي	OBJ",
5632,اليوم بقالي سنه تقريبا ع #تويتر انا واحده من الي اضحك عليهم ف #25_يناير وسبب رئيسي من نشأة الحساب اني افهم ابعاد المؤامره من اصحاب الفكر,neutral
5640,ما يحدث في اركان هو جريمة ضد الانسانية و ليس فقط ضد المسلمين ما يحدث عار على الانسانية كلها,negative
5641,#موت_بغيظك_السيسي_رئيسك يعني هل يعقل ان ينتخب الشعب المصري رئيس يقول عن جيشه العظيم و شهدائه #عسكر !!,neutral
5642,الاعتداء على الفنان خالد يوسف من قبل بلطجية ابو اسماعيل يدل على ان مرسي وجماعته قد انتقلوا بمصر من الدولة الى العصابة ستسقطون كما سقط مبارك,negative
5644,"هل تعرف معنى اسم الله الصمد ""الصمد"" الذى يُقصد إليه فى قضاء الحوائج ""الصمد"" لا يحتاج الى أحد و يحتاجه كل أحد	OBJ",
5645,ائمة ودعاة وشيوخ البيادة يتحملون وزر قتل الابرياء فى المظاهرات كالقتلة تماما,negative
5646,ونحن في الجبهة القومية للعدالة والدمقراطية نؤكد رفضنا التام للمشاركة في أي فعاليات تستهدف إعادة مرسي-أياً كانت مسميتها أو…,negative
5648,"هاشتاق "" #ارسلي_لأخوك_كلمة_أحبك_وصوري_ردة_الفعل اللهم اجرني في مصيبتي رومنسي ربي يسعده "" #تخي…	OBJ",
5649,#ذات_مومنت لما تتخانق مع اختك و مش عايزها تزعق عشان متصحيش باباك حاافظى على هدوءك عشان الاكسجين,neutral
5651,اتفق معك جداً و ان عائلة الأسد قمعيين مستبدين و خلقوا دولة أمنية كما اتضح لي بعد ان خدعت،ان المليشيات المسلحة هناك كارثة,neutral
5652,انا فعلا نفسي تحصل منظره بين #حمدين و #السيسي,positive
5653,بلدنا مش عايزانا وبتدينا على قفانا #السكة_شمال,negative
5655,موقف الأسواني من شفيق فخور به جداوهو موقف كل الثوريين من شفيق صبى مباركاذاكنت تدعم شفيق فالأولي بك تدعيم جمال مبارك,positive
5657,#أوقفوا_الفحم في #مصر ,negative
5658,الصبح لما بيجى عليا ببقى حاسس بانتصاار الليل يعدى عليا وانا واقف ف انكسار ومابينهم عزيمة وقرارات بتضيع ع اخر النهار #وسط_البلد #كراريب,neutral
5660,ايام حلوه الايام #عمرو_دياب,positive
5662,معرض الكتاب عبارة عن شباب كاشخين مسوين مثقفين وبنات كاشخات مسويات فيها مثقفات بينما الأول يبي الثاني والثاني يبي توقيع الكاتب #…,neutral
5664,#اعرفوهم #انقلاب_مصر #يسقط_حكم_العسكر #الداخلية_بلطجية #الحرية ل إيهاب عبد السلام جابر 28 سنة مصمم جرافيك #البحيرة …,neutral
5665,الله يبارك فيكي يا هند,positive
5667,يابوب ارجع محتاجينك بجد #ارجع_يا_بوب,positive
5670,#السيسي_هايصالح وهيخاصم :) زى #شفيق ما قتل و اتقتل,neutral
5671,لجنة فاروق أبوزيد مثال صارخ لنظام يقوم على وأد الحريات سنكسر حاجز الخوف #,negative
5675,العالم بيتجه للتقليل المنتظم والمستمر من اعتماده على الفحم ومصر عايزة تزيد منه! #أوقفوا_الفحم,negative
5676,دعبد المنعم ابو الفتوح فى ندوته فى مكتبه أ : أنا ضد الخلط بين العمل الدعوى والعمل الحزبىفالمؤسسه التى تقوم,negative
5682,"اسكندرية تحذير هام جداً جداً وصلتنا رسالة تحذير بخصوص حالة ""ثبيت وسرقة""	NEG",
5686,"الاعتداء على التظاهرات السلمية مسؤلية من بيده السلطة ،و لا يمكن ان يقال انه ""خطأ غير مقصود"" التعامل الآمنى هو استمرار ""لمصر القديمة "" !	NEG",
5688,ازمات مصر الحقيقية لن تحل بالمتاجرة بالدين ولا بالحديث عن تطبيق الحدود والسياحة الشرعية، بل ببرامج تشريعية وتنفيذية محددة,neutral
5689,اسرائيل تحتل فلسطين من عام 1948 فى 65 عاما لم تعتقل اسرائيل من بنات فلسطين ما اعتقله الانقلاب من بنات مصر فى 4 شهور انحطاط,negative
5691,#اعتراف ما زلت احب سيريلاك بالقمح 😔,positive
5693,#محمد_علي_خير _:قرار الرئيس #عدلي_منصور بتحصين قرارات الحكومة من الطعن عليها أمام القضاء غير موفق #مساء_الخير #,negative
5694,#خريجات_جامعيات_قديمات_عاطلات #ظلم #حرمان #طموح #الم #قهر #معلمات,negative
5696,من يريد الفلول في البرلمان ليمنع الإسلاميين من الأغلبية منافق وبعيد عن الديمقراطية التى تجبرنا على احترام ارادة الشعب مهما اختلفنا معها,neutral
5697,كثير منهم يقولون يعني مش غضبان لسب السيدة عائشة يعني انتو برضه هتزايدوا على سيدنا النبي الذي لم يفعل مافعلتموه من دناءة بمن أذاه في أهل بيته,negative
5698,نحن نمر بأحداث بعضها يدعو للجنون جهادك الحقيقي أن تحتفظ بقلب مشتعل و عقل بارد,neutral
5699,الإعلان الدستوري الصادر من مرسي كان أشبه بخطاب التمكين لهتلر #السادة_المحترمون,negative
5708,المفاصلة بين الشعوب العربية وطغاتها الفاشيين مثل #الأسد و #السيسي حربُ وجود لا حدود فلا مجال فيها للحلول الوسط أو التلاقي ف…,negative
5709,لازم كلنا نروح ننتخب اليوم لأنها أمانة وواجب وطني انتخب لتشعر بحق الملكية في بلدك~عمرو خالد,positive
5710,"بحب بلدى و بكره الدم والظلم #سأنتخب_السيسي #تحيا_مصر""	NEUTRAL",
5711,الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,negative
5712,_ لا ده نتكاتف فيه رغم اى خلافات أو أخطاء حدثت,neutral
5715,37 ماتعلمش من أداء جده القديم اللي قرب من الحاكم واستفاد منه وفاد الناس بذكاء وما اتعاصش بدم على الأقل,neutral
5716,عبفتاح السيسي أوميجا العالمى #انتخبوا_العرص,negative
5718,"#حط_صورتك_وانت_صغير يلا الكل""	OBJ",
5719,#يسقط_حكم_العسكر #انزل_30_اغسطس #مصر_تنتفض_ضد_العسكر #مصر,negative
5724,100 يوم من فشل الانقلاب 200 دولة ترفضه 400 فندق اغلق 800 مصنع افلس 8000 شهيد 20000 معتقل 30000 مصاب 50000 مسجد,negative
5727,حركااات الكويت لونها اصفر #حرية_الصحافة,neutral
5731,ارجو الدعاء للراحل العظيم محمود السعدنى __ اليوم ذكرى وفاة الولد الشقي,positive
5737,سيذكر تاريخ مستشفى الامراض العقلية أن محكمة مصرية اصدرت حكم ببرأة الفلول فاحتج الثوار ونزلوا ضربوا بعض فى ميدان التحرير !!,negative
5738,الصحافة العالمية ومحاكمة مرسي او جلوبو البرازيلية: مرسي متحديا ومعلنا نفسه الرئيس الشرعي الوحيد ويرفض ارتداء زي,neutral
5744,النخبة المصرية ضعيفة وليست بقوة الشعب، زى الموتور القوى على الشاسيه الضعيف، يعنى العربية لو مشيت بسرعة ممكن تتقلب,neutral
5745,الغاء الاعلان الدستورى المكمل الذى كنا ضده منذ لحظة صدوره خطوة ايجابية ، لكن نرفض انفراد الرئيس وجمعه بين الصلاحيات التنفيذية والتشريعية معا,neutral
5748, #الفيفا يصنف الدوري السعودي ٢٤ دوليًا الثاني آسيويًا الأول عربيًا عاد #النصر فعادت هيبة الكرة السعودية	OBJ,
5749,ملحد هنستنى منه ايه ؟,negative
5752,اساند من رفض الوقوف للسلام الجمهوري لانه بدعة،بس بالمرة بقى موبيلاتكم وعربياتكم و الدش اللي بتتفرج عليه,neutral
5757,"بطل نميمة و غيبة ""انكما قد اغتبتما و من اغتاب مسلما فقد اكل لحمه"" #حاول:')	NEG",
5759,يجب ووقف فورى للعنف ومحاكمة المتورطين فيه علناً,negative
5761,"#الحرية_والعدالة | #السويس | خبر علي أحد المواقع الانقلابيه """"أمن السويس"" يمشط الشوارع بعد صلاة الجمعة بحثا عن	OBJ",
5763,"لن يستعصى أمركم علينا ""إنذار أخير"" ""ابقو اغمزوهم بص…	OBJ",
5766,عبر الناس داخل الكاتدرائية عن مشاعرهم بحرقة بعد قتل ابناءهم و بسبب التغطية الأعلامية الرسمية المخزية,negative
5773,احساس رخم اوى لما تكون عايز تفرح حد معين و مش عارف ازاى! #اه_والله,negative
5776,هو ليس مكانه طاولة الحوار المحترم إن عمر سليمان لا يؤمن بالحوار إنما يؤمن فقط بالقتل !,negative
5777,"مقالة ""مش"" قصيرة أرجو أن تقرأوها كاملة عن: الدستور والشريعة الإسلامية	OBJ",
5779,) معلم و واعي يا يوسف,positive
5782,نبيل العربي فخر لمصر في علمه و أخلاقه ووطنيته ونقائه ولم يفكر أو يسعي يوماً للترشح للرئاسة لا تزجوا بإسم الرجل في هذا المناخ السياسي الملوث,neutral
5785,"135 مليون جنيه إجمالى خسائر الشركة نتيجة غلق محطتى ""السادات والجيزة"" حتى الآن! #انتخبوا_البرص	NEG",
5786,"#ولاد_البلد #المنصورة #مصراوي أهالي السائق القتيل يهاجمون قوات الداخلية، ويرددون هتافات "" الداخلية بلطجية"" أمام	OBJ",
5790,بعد أن قال الإخوان أن مرسي متخصص في تصميم المحركات في ناسا أصبحت أعتقد أن دفاية بيتنا التي تفعل كل شيئ إلا التدفئة موتورها من تصميم مرسي,negative
5792,"الي تجار الدين : "" قل هل يستوي الذين يعلمون والذين لا يعلمون"" ؛ ""ويل لكل أفاك أثيم ""	NEG",
5794,"دة هو ""بورشور الحملة""	OBJ",
5795,#باسم_طلع_حرامي ===== #عاشق_مصر,neutral
5796,"أرجو منكم ثانية التسجيل في موقع وزارة الخارجية "" #تواجدي "" حفظكم الله في حلكم وترحالكم #الإمارات #لندن #حذر	OBJ",
5798,عندما تغيب الدولة أو تعمل فيها عبده العبيط، تصبح القاعدة التي لا بد من إتباعها: من جاء ليعمل معك المعروف فافعل معه المنكر,negative
5799,اعداد كبيرة من الامن بزي مدني خلف الصف الاول للأمن المركزي عند ناصية مجلس الشعب #الداخلية_بلطجية,negative
5802,#م نوينا نعشق بعض آبد كآنت سالفه 'وصرنا م نعيش من دون بعض (=|,neutral
5804,اشارة رابعة اشبه بنار تحرق الانقلابيين,neutral
5807,صوتك العالي دليل على ضعف موقفك,negative
5809,الولد اللي بيقبل يتشتم ب امه حتى لو هزار و يقلب الدنيا لو حد جاب اسم صاحبته بس #استرجل كده عشان امك اللي بقيالك و تعبت عشانك,negative
5811,عزيزي الإخواني: اللي بيعصبك مش وصفي لرئيسك مرسي بإنه فاشلاللي بيعصبك إنك متأكد إنه فاشل بس لازم تشتم اللي بيقول عليه فاشل لتخفي فشلك وفشله,negative
5815,كل ما يفعله أبو زيد وزير الرياضة يضر الرياضة اخر شائعة عن تعيين كمال الجنزورى رئيسا للاهلى شباب ثورة 1919 سيعود ليقود الرياضة فى مصر,negative
5816,عاد إلى مصر خطاب دعائي تحريضي ينتمي إلى مرحلة الستينيات مصر تعود للوراء حتى رئيس الحكومة لا يتوقف عن تمجيد السيسي وهو مجرد …,negative
5818,قرارات الرئيس انقلاب علي الديمقراطية واحتكار كامل للسلطة وطن يبحث عن حلول يدفعه رئيسه لمزيد من المشكلات الثورة لن تقبل ديكتاتورا جديدا,negative
5823,من العنصرية أن تؤمن أن العربجي مهنة دنيئة عيب على ذقنك يا شيخ,negative
5827,"#اخر مباراه للمصارع ايدي قيريرو ""	OBJ",
5829,بعيدا عن الهزار بقى وكده من كل قلبي باقولها لك ربنا يسعدك زي ما بتسعد الناسقلبي وربي راضيين عليك يا أمردسلام عليكم,positive
5831,مش قادر افهم ازاى عبيد #باسم_طلع_حرامى كانوا بيقولوا على الاخوان خرفان والله مفرقتوا عنهم,negative
5832,11 فبراير كان يوم نكسة #ثورة_25_يناير لما سيبنا الميدان وروحنا مش 30/6 ولا 3/7 ياريتنا كنا سمعنا كلامك يا شيخ حازم #انا_حازم #مرسى_رئيسى,neutral
5839,نشكرك تكلمتي بلسانا جميعا :),positive
5840,"الوطن تي في | #توفيق_عكاشة: شلبية الفلاحة أحسن من #هيفاء لأنها ""طرية مش ناشفة""	NEUTRAL",
5842,"الأسواني : "" اذا كنت مسلما لماذا تعارض تطبيق شرع الله ؟! ""	OBJ",
5845,#المصري_اليوم #علاء_عبدالفتاح: #مصر لم تشهد حكمًا مدنيًّا حتى في عهد #الإخوان,negative
5847,كان هناك شئ يدعي #حريه اللهم ارحم #ثورة_25_يناير واخلف لنا خيرا منها ، اللهم انتقم من كل من أوصلنا إلي هذه الحالة #لكي_الله_ياحريه,negative
5848,ثانية واحدة مش فى ناس بتقول ع #باسم متأمر وخاين وكده طب اتخيل كده لو الحاجات اللى بيهاجمها انتهت زى تطبيل الاعلام وكده مش #مصر هتبقى احسن,negative
5850,4 أناشد الجميع الابتعاد عن الاقتتال الأهلي والالتزام بالتعبير السلمي عن الرأي، لا تفرضوا لون الدماء على الميادين والشوارع المصرية، انتبهوا!,negative
5851,البلد بتغلي والاسعار نار ودماء الشهداء لا تزال ساخنة والانقلابيون بييعملوا دستورهم ابرد خلق الله,negative
5852,"ارفع كل رايات النصر إحنا شباب بيحرر مصر هتاف ""جمعة الخلاص"" تحت الأمطار بدمنهور	OBJ",
5854,وصل الإفلاس بالإخوان إلى حد فبركة تصريحات على لسان المفكر الأمريكي ناعوم تشومسكي تبرر تخبط قرارات رئيسهم لكنهم إتفضحوا فضيحة المتطاهر,negative
5856,مرة أخري ولكي لا نحبط، انتخاب رئيس بالإعلان الدستوري المبتسر يحمل معه بذرة الخلاف بين السلطات دستور ديمقراطي جديد هو مفتاح مصر المستقبل,neutral
5857,أعطونا #سيناء و أخذوا السيادة تسقط اتفاقية #كامب_ديفيد,negative
5860,ف #مصر #شخصية_مريبة متعرفش #بيشتغل لحساب مين بالظبط اسمو #نجيب_ساويرس بيعمل #قناة #لجاسوس اسمه #يسرى_فودة ليستضيف #عميل_برخصة اسمه #جمال_عيد,negative
5862,من #عيوب_تويتر: الكثير من ردود الأفعال والقليل من الأفعال، الانشغال بشكل مبالغ فيه بالأحداث اليومية عن التخطيط للمستقبل,negative
5864,#هناك_مكان_اسفل_الجحيم لكل واحد بيقعد يدافع عن حد لدرجة انه بيحسسك انه اله مبيغلطش #السيسي #مرسى #باسم #برهامي #يلا_نحفل_علي_احمد_ادم,neutral
5865,سواء اتفقنا او اختلفنا مع الاستاذ خالد صلاح فمن حقه ان يعبر عن رأيه ويقوم بواجبه الاعلامي بحرية كاملة الاعتداء على خالد صلاح ارهاب وبلطجة,neutral
5866,الله اكبر وتحيا مصر ،الحمد لله وحده، صاحب الفضل كله، انعم علينا بثورة عظيمة واختار من بيننا شهداء ابرار,positive
5868,اﻻمنجي #عمرو_اديب و المحامي اﻻمنجي #خالد_ابو_بكر بيروجوا لغلق المحلات من 8 مساءا و رفضوا ان #هشام_قنديل يقفل المحلات 10 …,neutral
5870,اليوم السابع مش بتاعة نجيب!,negative
5871,# احلي حاجة في الحلقة #رجعوا_الجماهير,positive
5873,"الآن على شاشة #الجزيرة حلقة هذا الأسبوع من برنامج #تحت_المجهر ""#الخصخصة في الميزان"" تابعونا #مصر #إنقلاب #عسكر	OBJ",
5877,و لو ان الإرهابي صفوت حجازي او غيره قاوم بالسلاح فليقتل اير مأسوف عليه،فهذا هو القانون الذي نجاهد لتطبيقه على الجميع,negative
5879, توفني مسلماً والحقني بالصالحين  فلا تعش بعيداً عن #الله وتطلب #السعاده,neutral
5882,#دعوة_الصائم_لاترد اللهم طمئن قلب #امي واشفها مما تعاني وارفع عنها ماألم بها اللهم فرج هم #أمي ويسر امرها واكتبها في علي,positive
5887,إنت ماسرقتش دار الشروق إنت سرقت الأستاذ أحمد بهجت وأسرته على فكرة لإن المؤلف هو المستفيد من حقوق النشر,neutral
5888,ف #مصر #شخصية_مريبة متعرفش #بيشتغل لحساب مين بالظبط اسمو #نجيب_ساويرس بيعمل #قناة #لجاسوس اسمه #يسرى_فودة ليستضيف #عميل_برخصة اس…,negative
5889,انا محنيش جبيني غير لرب الخلق ، ولا بالحرق ولا بالشنق أموت والجنه عنواني الله يرحمك #جيكا,neutral
5898,الإرهاب خطر عالمي اعتاد أن يستوطن في مناطق تغيب عنها هيبة وسلطة الدولة ويحولها لملاذ له خلايا القاعدة وتيارات عنفية مختلفة ليست بعيدة عنا,negative
5901,يا عسكرى واقف بالفرس على جتتى لا انت البطل ولا انت فتوة حتتى يوم ما تقول هاخد البلد هقولك خدها بس على جثتى ع…,negative
5904,حزنى عميق على الجيل القادم لا قدوة فى سياسة اقتصاد ادب فن اعلام قضاء اغلب رموز الانقلاب سيئة,neutral
5905,#تخيل إنك أعمى ؟ أو مكفوف ؟ لا سمح الله أكثر الناس راح يقدرون النعمة إذا فقدوهآ ! #حقيقه,neutral
5908,أما بعد الإعلان فلن يرتب الانسحاب الأثر المراد ونكون مع شفيق بمفرده في الإعادة مجددا، لم يكن اقتراحي خيالا بالمعنى القانوني والجدل قائم,neutral
5911,#عمرو_موسى كاتب في ال مواطن مصري ، #أبو_الفتوح كاتب المرشح السابق لرئاسة الجمهورية ، ماهو معندوش حاجة يكتبها وبالتأكيد ولائه مش لمصر,negative
5912,هذا الفيديو فعلا مؤلم يظهر مدى وحشية البشر وقدرتهم على تدمير أي شئ,negative
5915,"سعوديون يقاطعون ""المبيدات"" بعد ضجة ""مخاطر الفوسفين"" #السعودية #الفوسفين #الصحة	OBJ",
5916,ان ﻛﻧت ﻣﺎﭠﺑﻳﻧي لآﭠﺟﺎﻣﻟﻧي خلک قدهٱ ﻗۈل ﻣﺎﺑيک وﺎنا ﺎوعدک #ﺎرﺣل,neutral
5925,"شاهد - آخر كلام: في بيتنا ""جاسوس"" تجسس الدولة على المصريين #	OBJ",
5928,يا رب… إن عبدك جلال عامر جعلنا جميعاً نبتسم في الدنيا وأدخل السرور إلى قلوبنا، اللهم أجعله مبتسماً عندك، مسروراً في جنتك,positive
5929,​أحياناً يكون الألم النفسي أصعب و أشد ألماً من الألم الجسدي ٣٤ #مذبحة_بورسعيد #المجد_للشهداء #إفتكروهم,neutral
5930,و أحب أفكركو ان الدستور العرة اللي بيحاولوا يفرضوه علينا نتاج عمل نخبة من متعلمي البلد! #اتوكسوا,negative
5932,دي سياسة مش روضةاطفال,neutral
5936,حشود مظاهرات جمعة الوفاء لدماء الشهداء اصابت الانقلاب بصدمة وخوف على حياتهم رد فعلهم قتل قمع اعتقال,neutral
5940,ارفض المعونه الامريكيه واسرائيل بيننا وبينهم معاهده حقية لا نقبلها ولكن اذا ارادوها فعليهم احترامها اولا,negative
5941,"المباحث #سبام ""تابعني واتابعك"" زيادة المتابعين الاخبار المحلية #الشعب_يقول_كلمته #جماعة_انصا…	OBJ",
5943,"تناقش حلقة الجمعة من برنامج ""آخر كلام"" مستقبل السودان ضيوفها ياسر عرمان نائب الأمين العام للحركة الشعبية لتحرير	OBJ",
5948,لصوص مصر يسجنون شرفاء مصر عواجيز مصر يريدون ابادة شباب مصر هذا هو العنوان الاكبر للانقلاب العسكرى,negative
5951,أكره جملة (ذكرى الثورة) لأنها دائما تذكرني بمصير المطربة الراحلة ذكرى,negative
5952,ثمه شعله حنين مشتعله في جوفي حرقت كبريائي حتى الرماد ومزجته في كوب زجاجٍ شفاف وسكبته على أزهار الذكرى حتى أرتوت وينعت #اعترا…,neutral
5954,"جمال فهمي: تسريبات صباحي ""نفاق صحفي مفضوح"" #مصر #ميدان_التحرير	NEG",
5961,أؤيد قرار د مرسي فيما يخص : 1- إبعاد النائب العام 2- محاكمة وإعادة محاكمة كل من لوثت يداه بدماء أو أموال المصريين,positive
5962,"يستعد شباب صناع الحياة مصر لإطلاق فاعليات حملة ""لا للـدم""، الهدف منها توصيل رسالة إلى الشباب المصري المشارك في	OBJ",
5963,إهداء إلى أمى الغاليه,positive
5964,"متحدث ""#الحرية_والعدالة"" بالجيزة للنيابة: ""انتمائى لـ #الإخوان مصلحة وأكل عيش ولما وقعوا خلعت""	OBJ",
5967,#كلمة_شكر ل عآدل عبدالله ع البلنتي و الطرد اللي حصله ، اصلاً الطرد احلى 😳😳,positive
5969,التعليم: ضعف مستوى التعليم الحكومي وازدهار المراكز الخاصة في الدائرة بعيداً عن رقابة وزارة التعليم,neutral
5971,لدي مستندات تثبت تورط #السبكي فى تدمير #مصر لصالح #اسرائيل,negative
5973,#خلق_جميل احترام الكبير والعطف على الصغير,positive
5977,لو يوسف الحسيني شخص عادي مش إعلامي كان اللواء المحافظ قاله سيادتك ؟! …,neutral
5978,أشارك في مسيرات اليوم رفضا للدستور المشوه، ولأخونة الدولة، وللانقضاض على سيادة القانون، ولتجاهل الرئيس وحكومته لمطالب العدالة الاجتماعية,negative
5982,من أخلاق الأخوان لله دركم ياأبناء البنا ! #مرسي_رئيسي #الشعب_يرد_تحية_الرئيس #انتخبوا_العرص #انصاف_الاخوان,neutral
5984,قفلو الفراعين صادرو الدستور منعو صفحة محاسبة الرئيس من الاهرام بس الحمدلله الثورة نجحت وسقطنا شفيق,neutral
5985,"#اخر ساعه ف يوم الجمعه -أدعو ل راز - بالتوفيق ""	OBJ",
5990,ماتخفش محدش بيتحاسب، ارجع المصريين نسيوا الشهداء اللي ماتوا,negative
5991,5 سقوط الكنيسة مع البابا المتطرف تواضروس مفهوم ومرتبط بالمصلحة فى تقويض مكانة وهيبة الاسلام فى مصر واستفاد بخبث من مبدأ استعمارى (فرق تسد),negative
5993,#لو_بقيت_رئيس_جمهوريه هموت السيسى ومرسى وكل اللى هيجيب سيرتهم برضه,negative
5994,#اعتراف انا بكره الناس اللي بتخسر اعز صحاب عليها علشان خاطر حاجه مالهاش لازمه ـ انا فعلا بكره #الكوره و,negative
5996,"3 تصدق؟ انت ماتفرقش حاجة عنهم؟ لاني ولا قلت فصيل ""وتني"" و لا ناديت بعدم ""الاكساء""ولا طالبت بالمصالحة	NEUTRAL",
5997,عبدالله السلمان مال الخطر معاهم يخرج احسن منّك #ارحل انت الآخر,negative
6000,"بلاغ لـ""#النائب_العام"": ""#برهامي"" يدعو للفحشاء والفجور و الزنى #بوابة_القاهرة #مصر	OBJ",
6004,بعد الغدر والخيانة اللى شفناها ومن الاخر اللى هنشوفه لابس بدلة #شرطة هيرجع لامه ملفوف في بدلته #ثورة_اسلامية,negative
6005,هههههخخههههههه #انتخبوا_البرص #يا_رب,negative
6006,1 وصلتنى رسالة من مشجع كروى الى طاهر ابو زيد: كنت لاعب متميز وللأسف ضيعت كل ذلك بولاءك للأنقلابيين بل أصبحت من قادة الانقلاب,neutral
6008,"آخر كلام | أبو الفتوح: ""الأزمة ممكن أن يحلها المجلس العسكري عن طريق التصديق على اتفاقية روما و التي تحتوي على	OBJ",
6018,مسحوا جرافيتى محمد محمود مسحوا حكاية ابطال ثورة يناير للاسف منهم اغبياء وجهلاء ايدوا 30يونيو,negative
6019,انصار الانقلاب طلعوا سابع سما امس بدعم كيرى لكن نزلوا مع انقلابهم لاسفل ارض فى محاكمة مرسي,neutral
6021,وظني بك يارب ظناً جميلاً  #جمعة_مباركة,positive
6023,أشكرك,positive
6025,كل البلاوي اللي #الداخليه هتعملها بعد كده فينا هتبقى بإسم #مكافحة_الارهاب وهنرجع تاني نغني لفق لفق في القضيه بتاعت #الالتراس #النظام_هو_هو,negative
6026,"#شباب| #مصر| بالفيديو ""طفل"" يشعل مظاهرات #الأخوان فى #عين_شمس تعرف على التفاصيل	OBJ",
6032,كل عيد و احنا طيبين، مسلمين و مسيحيين و في بلدنا مرتاحين و نشوف اللي قتلوا الشهداء متعلقين، و ان شاء الله علي كل واحد ظلمنا منتصرين يارب,positive
6033,الكتلة الصامية لن تستمر صامتة بعد اليوم انه مستقبلنا ومستقبل أولادنا الذي يختطف والصمت خيانة لمستقبل,negative
6036,"حوار دعمرو حمزاوي مع"" مروان المعشر"" و""مارينا أوتاوي"" مرحلة التحول الديمقراطي في مصر -الجمعة 4 مايو، 2012 - واشنطن	OBJ",
6037,#طيب_نفسي أعيش صح واشتغل صح واكافح صح وانجح صح و #افرح صح بقاااا #بلد_أصعب_مافيها_الطموح,neutral
6042,مرسي يعطل القانون ويشق الوطن ويخاطر بالصالح العام من أجل تمرير دستور يخدم صالح جماعة في حتة مزنوقة لا تخضع لأي رقابة أو قانون,negative
6043,يبقى الكلام دائما أرخص من الدم، ويبقى الفقير هو الضحية المفضلة، وتبقى مصر كما هي تحب ولادها مقتولين، ولا حول ولاقوة إلا بالله,negative
6045,حلوان وروكسي وعين شمس بورسعيد وبنى سويف والمنيا والفيوم والسويس شكرا حشودكم شعب مصر عظيم,positive
6047,وصل الامر بمصر نائب كويتى يقول لرئيس مصر على الهواء: يا شحات مهانة ما بعدها مهانة رئيسنا شحات يا انقلاب العار يا اعلام العار,negative
6057,من لا يستطيع أن يفهم أن 'اللهم بلغنا يونيو' كانت توقاً لإجازة بعد عمل شاق مع كل الأطراف بكل احترام ثم يسب و يخوّن سامحه الله,neutral
6062,الرئيس مد التأسيسية شهرين خلافا لاستفتاء مارس والآن نائب الرئيس يقول أنه أُجبر على الدعوة للاستفتاء في 15 يوم التزاما به! احترموا عقولنا!,neutral
6066,نظرة هادئة لمشهد ملتهبمقال اليوم أجيب فيه عمن يسألونني دائما عن الحل ويتهمون الكتاب عامة بعدم الحديث عن الحلول,neutral
6070,الفحم وصل يا استاذنا واحنا واقفين نتفرج #أوقفوا_الفحم #حكومه_تقتل_المرضى,negative
6072,عقول زباله تسئ لرجل كبر اجدادهم فعلا العرب تربيتهم صفر #بالعربي,negative
6074,"رسمياً ""#الفيفا"" يوافق على إقامة الدورة الرباعية للدوري #المصري بالتزامن مع كأس العالم	OBJ",
6075,لقد قامت الثورة وضحى الاف المصريين بحياتهم من اجل استعادة كرامة الانسان المصري داخل مصر وخارجها اين وزير الخارجية اين عصام شرف,neutral
6079,اسطورة اغلبية الشعب معاه، نصف الشعب طنش الانتخابات، و نصف اللي شارك لم ينتخب مرسي، و نصف اللي انتخبه عاصر لمونة و بيتظاهر ضده,neutral
6082,خرجت النهارده لقيت كل الشوارع وكل الحيطان عليها هاشتاج #انتخبوا_البرص :) لا وحاجات تانيه ألعن من البرص والانقح,negative
